Titel_Autor,Autorenvorname,RASignatur,Beginnt mit,Volltext,index,id,file
KLIMECKI,RUEDIGER G.,97377/102,A,"Klitnecki  ,  Rüdiger   G. Klimec&i, RUdiger G.; Probst, Gilbert J.B.; GmUr, Mar- kus,   Flexibilisierungsmanagement. Die Orientierung. [Hrsg.von der] Schweizerischen Volkabank. 102. (Bern): Schweizerische Yolksbaniî, (1993).   -30cm.96 S ",1266,1266,chunk_5.csv
KLIMM,HELMUT,,A,"Klimm, Helmut s. Leitbilder und Bildungawege der Sozialarbeit ",1267,1267,chunk_5.csv
KLINE,PAUL J.,86248,A,"K l i n e  ,  Paul  J. Kline, Paul J.; Dollns, Steven. B.  Designing expert systems. À guide to selecting implementation techniques. New York: John Wiley & Sons, (1989).       -25cm.219 P- 29163	P                      .f ",1268,1268,chunk_5.csv
KLING,C,,A,"K l  i  n g   ,   C s.Manuel  des Bourses  Suisses 1939,2729. ",1269,1269,chunk_5.csv
KLINGLER,LOUIS,6121,A,"Klingler,Louia Klingler,Louis. Juristischer Ratgeber für alle. Was jeder Schweizer vom Recht wissen muss. Zürich:Stauffacher-Verlag,(1952).     - 19 cm. 276 S. ",1271,1271,chunk_5.csv
KLINGMUELLER,E.,,A,"Klingmüller, E. a. Rechtsfragen der Individualversicherung. Betrachtungen und Probleme in internationaler Sicht. Festgabe für Erich R.Prülss. ",1273,1273,chunk_5.csv
KLOEPPEL,BERT,,A,"Klöppel  ,  Bert s.   Dapper, Thomas; Dietrich, Garsten; K'B1. Windows NT 4.0 im professionellen Einsatz ",1275,1275,chunk_5.csv
KLOETI,EMIL,94347,A,"K l Ö t i , E m i 1	94'347 Klöti,Emil. Schutz der Wälder und Aussichtspunkte im Gebiete der Stadt Zürich. (S.A.a.d.Jahrbuch 1942 des Verbandes zum Schütze des Land- sohaftsbildes am Züricheee). Illustr. (Stäfa:Buchdr.Stäfa A.G.)1942.	(30 S.) ",1277,1277,chunk_5.csv
KLOOSTER,VAN T,,A,"Klooster,   van a.   Belkum,J.W.van;   K'A.J.   Kontrolle  und Revision bei  auto- matischer  Datenverarbeitung. ",1279,1279,chunk_5.csv
KLOS,JOEL,,A,"Klos  ,  Joel s.  Wörtertuch der Datenverarbeitung,mit Anwendungs- gebieten in Industrie, Verwaltung und Wirtschaft = Dictionary of data processing ... = Dictionnaire du traitement des données ... von Alfred Wittmann und J'K1 ... ",1282,1282,chunk_5.csv
KLOSS,R,70824,A,K l o e s Kloae.R        Umaatzsteuergesetz in der Fassung vom S.Mai 1926 mit den Durchführungsbestimmungen und den Aus- führungsbestimmungen vom 25. Juni 1926 mit den Ergebnissen der Rechtsprechung des Keiohsfinanzhofe. 2.A. München:J.Schweitzer 1926.   ,1283,1283,chunk_5.csv
KLOTEN,,,A,"K l o t e n s. Zürich (Kantonì. Interkontinentaler Flughafen Zürich, ",1285,1285,chunk_5.csv
KLOTTKE,KLAUS,82585,A,"Klottke ,Klaua Klottke, Klaus. Finanzierung und Steuer. Einfluss der Besteuerung auf betriebliche Finanz! erungsroassnahmen, (Grundlagen und Praxis des Steuerrechts. Band 5.) (Berlin):Erich Schmidt Verlag,(1968).	(196 S.) 10121 ",1287,1287,chunk_5.csv
KLUCKER,CHRISTIAN,5411,A,"Klucker,  Christian Klucker,Christian. Erinnerungen eines Bergführers. Herausg.und mit Lebensbild versehen von Ernst Jenny Mit 32 Abbildungen. Erlenbach-Zurich:Eugen Rentsch Verlag (1930). (305 S. Koe ",1288,1288,chunk_5.csv
KLUEBER,JOHANN LUDWIG,,A,"Klübör(Johann  Ludwig Klüber,Johann Ludwig. Europäisches Völkerrecht. 2.*A. von Carl Eduard Moratadt. Heidelberg:J.Groos 1847	(XVI,482 S.) ",1289,1289,chunk_5.csv
KLUNGE,GEORGES,2818,A,"K l u n g e , Georges Klunge,Georges. L'assurance et le Jeu Thèse Univ.de Lausanne. Lausanne:!* Concorde 1938.	(235 S.) K 303 ",1294,1294,chunk_5.csv
KLUWER,,,A,"K 1 u w e r Kluwer belastingwijzers.   16 s.       Dietvorst,   G.J.B.     Levensverzekering,   pensloen en fiaCUB. ",1295,1295,chunk_5.csv
KNAPP,BLAISE,,A,"Knapp,   Biaise s.   Stauder,Bernd. ",1300,1300,chunk_5.csv
KNAPP,CHARLES,,A,"Knapp,     Charles s.   Lexikon,   geographisches,   der Schweiz ",1301,1301,chunk_5.csv
KNEBEL,HEINZ,82652,A,"Knebel  .  Heinz Knebel, Heinz.   Das Vorstellungsgespräch. Die erfolg- reichste Art, Mitarbeiter auszuwählen. 14.t durchgeseh- ene Auflage. Freiburg/Breisgau: Rudolf Haufe	Verlag, (1993)-   -21cm. A	276 S. 31587	^y ",1305,1305,chunk_5.csv
KNEBEL DOEBERITZ,HUGO VON,,A,"Knebel Doeberita, Hugo von Knebel Doeberitz, Hugo von und Hermann Broecker. Das pri- vate Versicherungswesen in Preueeen. Band III: Das Feuerversicherungswesen in Preussen. Berlin:Zeitschr.f.Versicherungswesen 1903.  (16,203 S.)  . ",1308,1308,chunk_5.csv
KNECHT,WILHELM,84936,A,"Knecht,  Wilhelm Knecht, Wilhelm,   Videotex, das neue Medium. Zürich,   IBO-Verlag AG,   (1984).	-22cm.94 21837 ",1311,1311,chunk_5.csv
KNESCHAUREK,FRANCESCO,93370,A,"Kneschaurek   »Franc   esco Kneschaurek,Francesco].   Entwicklungaperspektiven und Probleme  der  schweizerischen Volkswirtschaft.   (Bankverein- Hefte.   Nr.9.) [Basel:]Schweizeriseher  Bankverein,(1975).     -  21  cm.   61  S ",1316,1316,chunk_5.csv
KNESCHAUREK,F.,91424,A,"Kneschaurek,(?.). Auf dem Weg ins Jahr 2000. Zusamnien- faDaung der wichtigsten Ergebnisse der Perspektivstudien von Prof.E.K1 über das Wachstum der Bevölkerung und die Entwicklungamöglichkeiten der schweizerischen Wirtschaft bis zur Jahr-tausendwende. Zü",1317,1317,chunk_5.csv
KNESCHAUREK,F.,5136/49,A,"Kneschaurek,^,	O 7-3 * /va Knesehatirek,F      Die kurz- und langfristigen Bestinummgs- faktoren der Zinsentv/icklung in der Schweiz. ^Vertrag gehal- ten an der Vorstandssitzung dor Schweizerischen Vereinigung zum Schütze der Sparer und Rentner, am 27.Jun",1322,1322,chunk_5.csv
KNOELL,HEINZ DIETER,84232,A,"Knöll,  Heinz-Dieter Knöll, Heinz-Dieter; Busse, Jürgen. Aufwandsachätzung von Software-Projekten in der Praxis. Methoden,Werkzeug- einaatz, Fallbeispiele. (Angewandte Informatik. Band 8), Mannheim: E.I,-Wissenschaftsverlag. Í1991). -22cm.204 S 3o4ol ",1330,1330,chunk_5.csv
KNOEPFMACHER,HEINRICH,,A,"KnÖpfraacher , Heinrich. Knöpfmacher,Heinrich.  Der Polizen-Rückkauf  in der Lebens- versicherung.     Eine historisch-kritische  Studie. Leipzig:?. Deuticke  1891,	(62 S.) 5SB     '	W'          (Dr.) SK ",1332,1332,chunk_5.csv
KNOERLEIN,FRANZ,,A,"Knórlein,  Franz KnÖrlein,Franz. Ausreichende Pensionsrückstellungen. Tabellen zur Berechnung von Pensionsruckstellungen mit Berücksichti- gung der säkularen Sterblichkeitsänderungen. Zinsfuss: 3i$. Dusseldorf :[Selbstverlag d.Verfassers] 1956.   (77 S.) ",1334,1334,chunk_5.csv
KNOPF,OTTO,6330/1,A,"Knopf   ,   0   t   t  o Knopf,0tto.  Wahrscheinlichkeitsrechnung.   I. Sammlung Göschen  (508) Berlin;Y3.de Gruyter 1923.	(112 S.) •	A ___                                                                 (Dr. , Prof .Jena)                    ^ ",1336,1336,chunk_5.csv
KNORR,,,A,"K n o r r Knorr Mährmittel AG., Thayngen, 1907-1957 s. Jahre, 50, Knorr ... ",1338,1338,chunk_5.csv
KNOWLEN,ELMER E.,97181/1-6,A,"K n o w 1 e B ,  Elmer  E.	^?f f*f /  - Knowles,Elmer E. Kursus zur Erlernung des vollständigen Systems des persönlichen Einflusses und Heilens. 6 Hefte. Brüssel : Psychology Foundation,1926. ",1343,1343,chunk_5.csv
KNUESEL,RENÉ,2699,A,"KnUse'l     ,     René Knüsel, René; Zurita, Félix.  Assurances sociales: une sécurité pour qui ? La loi Foirer et les origines de 1* état social en Suisse. Préface de Richard Millier. . .Post- face de Pierre Gilliand. Mémoires et documents, 12. Lausanne,",1345,1345,chunk_5.csv
KNUEWE,GISELA,,A,"Knüwe, Gisela s. Bibliographie dea deutschsprachigen Privat- und Sozial- versicherungsschrirttums 1945-1953- ",1346,1346,chunk_5.csv
KNUTH,DONALD E.,85197,A,"Knuth     .        Donald       E. Knuth,   Donald E.       Computers  and  typesetting.  Vols.  A, B,   C,   D,   E. Reading,Mass.,   Addison Lesley Pu""blisliing Company, (1986) ^^	-24cm 23677,   23847	^ ",1349,1349,chunk_5.csv
BERN,,1649,A,"Bern Bern   (Kanton):   Zivilprozessordnung für den Kanton Bern   [vom] T.Juli  1918. ¡Ausgabe (Bern) / K 4048, Ä> ¿V» ",1355,1355,chunk_5.csv
BERN,,1976,A,"Bern 7& Bern/Stadt. Statiatiaches Jahrbuoh 1929-   [unvollständig] Bern:Statistischee  Amt der Stadt Bern,1930- ",1357,1357,chunk_5.csv
BERNADOTTE,FOLKE,91088,A,"Bernadotte .Folks	91'088 Bernadette ,]folke. Das Ende. Meine Verhandlungen in Deutsch- land im Frühjahr 1945 und ihre politischen Folgen. Zürich¡Europa Verlag (1945).	(114 S.Ì G 7	™    (Graf) ",1358,1358,chunk_5.csv
BERNARD,H.,,A,"Bernard   ,H Bernard,H	Reichtum durch Lebensversicherungen, l.deutsche Aufl. 25.fraji2.Aufl. Stras8burg:Hubert & Haberer 1877.	(3& S.) • ",1359,1359,chunk_5.csv
BERNARD,JEAN-PIERRE,93400,A,"Bernard     ,     Jean-Pierre_____ Bernard,   Jean-Pierre.  The autumn annuities - Life  incomes in Swiss francs. Zurich,   ¿ibrex AG,Publishers»   [l97S]*       -24cm.  76 P- ",1360,1360,chunk_5.csv
BERNARD,NISSIM,,A,"Bernard,   Nissim s.   Achelis,Elisabeth.   Du  temps   et  du  calendrier, ",1361,1361,chunk_5.csv
BERNASCONI,MARIO,12155,A,"Bernasconi , li a r i o Bernasconi »Mario. Die Haftung dea Hotorf ahrzeughaltere fUr andere Personen (Art. 58 IV SVß). Zürcher Beiträge zur Rechtswisaenschaf t . [HeftJ429. Zürich:Schultheas Polygraphischer Verlag,(1973). - 23 cm, 143 S. 13997 ",1362,1362,chunk_5.csv
BERND,HUBBERT,,A,"Bernd,     Hubbert a.     Kranz,Günter;   H'B1.   Förderung  der ganzjährigen  Be- schäftigung  in  der  Bauwirtschaft. ",1365,1365,chunk_5.csv
BERNER,,,A,"Berner Berner bankrechtliche Abhandlungen s.   Abhandlungen, Berner bankrechtliche ",1367,1367,chunk_5.csv
BERNER KOMMENTAR: BD.I/2.ABT./1.TEILBAND,,1009,A,"Berner Kommentar; Bd.I; 2.Abt./l.Teilband Bücher, Eugen. Kommentar zu den Art.11-26 ZGB. 3,*Auflage 1976. ",1369,1369,chunk_5.csv
BERNER KOMMENTAR: BD.II/1.ABT./1.TEILBAND/2.HÄLFTE,,1009,A,"Berner Kommentar: Band II/l.Abt./l.Tellband/2.H&lfte BÜhler/SpÜhle?,  Die Ehescheidung. Art,137-158 ZGB, ",1375,1375,chunk_5.csv
BERNER KOMMENTAR: BD.II/1.ABT./2.HALBBAND,,1009,A,Berner Kommentar: Bd.II/J. .Abt./2 .Halbband Hausheer/Reusser/Geiser.   Die Wirkungen der EHe im all- gemeinen. Art. 159-180 ZGB. Bern 1999. ,1377,1377,chunk_5.csv
BERNER KOMMENTAR: BD.II/2.ABT./1.TEILBAND:4.AUFLAG,,,A,"Berner Kommentar: Bd.II/2.Abt,/l.Teilband: 4.Auflage Hegnauer, Cyril.  Die Entstehung des Kindesverhältnisses, Art.252-269c ZGB. 4.Auflage. 1984. ",1380,1380,chunk_5.csv
BERNER KOMMENTAR: BD.II/2.ABT./1.TEILBAND:3.AUFLAG,,,A,"Berner Kommentar:  Bd.II/2.Atit./l.Teilbana/  3.»Auflage Hegnauer,   Cyril.     Das  eheliche Kindesverhältnis.  Art.252- 301 ZGB.   3.»Auflage.   1964. ",1381,1381,chunk_5.csv
BERNER KOMMENTAR: BD.II/2.ABTEILUNG/2.TEILBAND/,,1009,A,"Berner Kommentar: Band II /2.Abteilung /2.Teilband / Das aussereheliche Kindesverhätniß, l.Lfg.,Art.302-327 ZGB Hegnauer,C. 3.*Aufl.	erh.3. 3.196< ",1384,1384,chunk_5.csv
BERNER KOMMENTAR: BD.II/3.ABTEILUNG/1.TEILBAND,,,A,"Berner Kommentar: Band II/?.Abteilung/l.Teilband Schnyder/Murer.  Die Vormundschaft: Systematischer Teil und Kommentar zu den Art.?60-597f 2GB. Lfg.l:   Systematischer Teil und Kommen- tar zu den Art.360-378 ZGB. 3.*Aufl. Bern 1982, Lfg.2:  Kommentar zu d",1385,1385,chunk_5.csv
BERNER KOMMENTAR: BD.III/2.ABT.,,,A,Berner Kommentar:   Bá.III/2.Ai)t. Tuor/Picenoni.      Der Ertgang.  Art.537-640  ZGB.   1964. ,1387,1387,chunk_5.csv
BERNER KOMMENTAR: BD.IV/1.ABT./2.TEILBAND,,1009,A,"Berner Kommentar;  Bd.I7/l.Abt./2.Tejlìiand	* líeier-Hayoz,A.       Grundeigentum I.  Art.655-679 ZGB.  1964. ",1389,1389,chunk_5.csv
BERNER KOMMENTAR: BD.IV/2.ABTLG./1.TEILBAND,,1009,A,"Berner Kommentar:  Bd.IY/2, Ab tlg. /l. Teilband Rey, Heinz.  Die Grunddienstbarkeiten. 2.*Auflage. Lfg.l: Systemat.Teil und Kommentar zu Art. 730 und 731 ZGB. XV.254 S.i 1981.	era. 16.11.1981 ",1392,1392,chunk_5.csv
BERNER KOMMENTAR: BD.V/1.ABSCHNITT,,,A,Berner Koraraantar: Bd.V/l.Abschnitt MutznertP.  Schlusetltel; Art.1-50 ZGB SchlT. 2.Aufläge. 1926. ,1396,1396,chunk_5.csv
BERNER KOMMENTAR: BAND VI/1.ABTEILUNG/1.TEILBAND,,1009,A,B«rner Kommentar:       Bandjfl  /  1.Abteilung /   1.Teilband Kramer/Schmidlin.       Allgemeine Einleitung in das  schwei- zerische Obligationenrecht und Kommentar  zu Art. 1-18 OR. Lfg.l	Art.l-2(Kramer) Lfg.2:	Art. 3-10 (Scfamidlin) Lfg.3ï	Art.ll-17(Sc,1399,1399,chunk_5.csv
BERNER KOMMENTAR: BAND VI/1.ABTLG/2.TBD/UTBD 1B,,1009,,"-/oof Berner Kommentar:   Bd.VI/l.Abtlg/2.Tbd/U'Tbd Ib      f Schraidlin, Bruno,  Mängel des Vertragsabschlusses. Art. 23-51 OR. Lfg. 1:    Kommentar zu Art. 23-27 OR. Bern 1993.	erh. 29.07.1993 Lfg. 2:    Kommentar zur Art. 28-31 OR Bern 1995.	erh. 13.7.",1401,1401,chunk_5.csv
BERNER KOMMENTAR: BAND VI/2.ABTLG/2.TEILBD/2.ABSCH,,1009,A,"Berner Kommentar: Band 71/2. Ab t. /2.Teilt>d/2. Abschnitt Reb-binaer, Manfred. Der Arbeitsvertrag: Kommentar zu Art.331-355 OR. Bern 1992. ",1410,1410,chunk_5.csv
BERNER KOMMENTAR: BAND VI/2.ABTLG/2.TEILBD/3.ABSCH,,,A,"Berner Kommentar: Baña vI/2.Abt./2.TeiIbd/3.Abschnitt Stöckli, Jean-Fritz. Gesamtarbeitsvertrag und Normal arbeitsvertrag. Art.356-360 OR. Bern 1999. ",1411,1411,chunk_5.csv
BERNER KOMMENTAR: BAND VI/2.ABTLG/6.TEILBAND,,,A,Berner Kommentar: Band VI/2.Abteilung/6.Teilband GautBCh.ilG.  Besondere Auftrags-und Geschäftsfülirungaver- hältniase sowie Hinterlegung.Art.425-491 OR. 2.*Aufl. 1962. ,1416,1416,chunk_5.csv
BERNER KOMMENTAR: BAND VII/4.ABTEILUNG,,1009,,"*f<9& ta Berner Kommentar: Band VII / 4.Abteilung Das Geaellschaftsrecht / Die Genossenschaft. Lfg l, Art. 828-838   erh. 9.3-1972 11  2,  ""  839-851    ""  23.4.1974 ",1418,1418,chunk_5.csv
BERNER,RUDOLF,91710,A,"Berner     ,     Rudolf Berner,  Rudolf  [pseud.].       Machiavelli  2000.   Ich bin der Boss und will ea bleiben. Eine heiter~ernste Fuhrungs- und Lebensliilfe  für alternde Manager. Zürich,   Verlag Organisator AG,   (1985).	-20cm.62  S G Verlag ",1425,1425,chunk_5.csv
BERNET,ARTHUR,2889,A,"Bernet, Arthur Bernet,Arthur. Die betriebliche Sozialpolitik im Rahmen der Unternehroungspolitik, speziell der schweizerischen Industrie. Diaa. Universität Basel. Basel: Buchdruckerei VSK. I960.	(99 S.) ",1426,1426,chunk_5.csv
BERNET,BEAT,,A,"B e r n e t  ,  Beat Bernet| Beat.  Back Office Management für Banken und Finanaorganisationen. Stuttgart: Schaffer-Poesckel Verlag, 1993.  -25cm.182 S 31559	~ ",1427,1427,chunk_5.csv
BERNET,FRIEDRICH,,A,"Bernet , Friedrich Bernet, Friedrich, 250 Jahre Bank von England - 250 Jahre Banknoten. (SA.d. Schweizerischen Arbeitgeber-Zeitung, 1944, Nr.49 u.50 [Zürich 1944].	(16 S.) 1945,5355.              ™    (Dr.) ",1428,1428,chunk_5.csv
BERNET,F.,5102/3,A,"B e r n e t , F	ft 02 / *    f *J Bernet.F       Die Tages- und Fachpresse als Helferin des Geschäftsmannes. Zürich 1950.	(8 S.) K 1918                 9  (Dr.) ",1429,1429,chunk_5.csv
BERNET,THEOPHIL,,A,"Bernet, Theophil Bernet,Theophíl. Das Uebungskontor, Die Anwendung des Arbeitsprinzips im Handelsunterricht. Zürich:Schulthess & Co. 1926.	(IX,l60 s.) ",1431,1431,chunk_5.csv
BERNEY,A.,5231,A,"B e r n e y Berney,A         Assurance cantonale vaudoise contre l'incendie et autres dommages. Plaquette commemorative publiée par l'Etablissement d'assu- rance contre l'incendie et autres dommages du canton de Vaud, à l'occasion du centième anniversaire",1432,1432,chunk_5.csv
BERNHARD,HANS,,A,"Bernhard     ,     Hans s.       Kälin, Karl} Muri, Peter. Sich und andere führen, Psychologie fUr Führungskräfte und Mitarbeiter.Mit Beiträgen von H'B' ... ",1433,1433,chunk_5.csv
BERNHEIMER,RUTH,94330,A,"Bernlieimer.Ruth	94 '330 Bernheimer,Ruth.     Die Gleichbehandlung der Genossenecìiaf ter im schweizerischen Übligationenrecht. ZiiricüiPolygr.Verlag  (1949).	(192 S.) K 1284                                               •           (Dr.) ",1438,1438,chunk_5.csv
BERNOULLI,E.,71037,A,"Bernoulli   ,   E. Bernoulli , E. ; Lehmann,H.; Waaer.P.G. Uebersicht der gebräuchlichen und neueren Arzneimittel für Aerate, Apotheker und Zahnärzte. 14., neu bearbeitete Auflage 4» fé-       4. Basel, Stuttgart:Schwabe, 1973.  - 19 cm. 650, XXVII S. 145",1439,1439,chunk_5.csv
BERNOULLI,JAKOB,6361/1.2,A,"Bernoulli,   Jakob Bernoulli, Jakob. Wahrscheinlichkeitsrechnung (Ars coa^ec tandi).  [4 Teile in 2 Bänden]. Ubers.u.herausg.v.R	Haussner. Leipzig :W. Engelmann 1899 226 ",1440,1440,chunk_5.csv
BERNSTEIN,HERBERT,85682,A,"Bernstein  ,  Herbert Bernstein, Herbert.   Hardware-Handbuch PC/XT/AT und Kompatible. Vom 8088- zum 80386-Mikroprozessor: EPROM- und RAM-Bausteine, Schnittstellen und lokale Netze, Terminal-Technik ... (Haar b.München), Markt & Technik Verlag AG, (1987).",1441,1441,chunk_5.csv
BEROS,STEFANO,20009,A,"Beros  .  Stefano Beros, Stefano. Die Stellung des Arbeitnehmers im BVG, Obligatorium und freiwillige ""berufliche Vorsorge. Disa. UniT.Zürich. Zürich: Schulthess Polygraphischer Verlag AG, (1993). A      -23cm.XXXVIII,188 S. G Verfasser	^-r7 ",1449,1449,chunk_5.csv
BERSIER,RENÉ,5631,A,"Bersier , R e n è	fu 34 Bersier,René. Illustrierte Geschichte der Schweizer Banknoten und Münzen » Histoire illustrée des papiers et monnaies suisses = An illustrated history of Swiss coins and banknotes. Texte:Franz Schmieder, Gaston Jaqueraet ... . Poto",1451,1451,chunk_5.csv
BETRACHTUNGEN,,,A,"Betrachtungen Betrachtungen,ernste,  über eine staatliche,   obligatorische Fahriiabe-Versicherung im Kanton Zürich. 3. A. Zürich:?. Schultaess 1893.	Í35 S.) 58B ",1525,1525,chunk_5.csv
BETRIEBSFIBELN,,,A,"Betriebsfibeln (Betriebsfibeln,   Leakes.   Band  1) s. Kelber»Magda. Fibel der Geaprächsführung, ",1528,1528,chunk_5.csv
FRAU POLANI (L),,84891,S,"84*891____________  ________________Frau Polani (L) Duden.  Rechtschreibung der deutschen Sprache und der Fremdwörter. 18,*A.uf läge. Mannhelm ... (1980),	-20cm.792 S. ",1632,1632,chunk_5.csv
DR.FRAUENFELDER (GD),,84900,S,"84*900	Dr.Frauenfelder (GD) Müller-Lutz, H.L.  Orientierungszahlen fUr Produktivi- tät und Wirtschaftlichkeit in der Versicherung. Karlsruhe, VVW (Verlag Versicherungswirtschaft e.V.,1978), -21cm.XIII,106 S. ",1641,1641,chunk_5.csv
ALART,GINÉS GARRIDO,,A,"A 1  a r  t     ,     G  i  n  é   s       Garrido a.        Glossary of  marketing research  ([i*1  s^x languages] English,   français,   deutsch,   italiano,   español, nederlands).  Editori   Jan van Rees.  Contributors: G'G'A1    ... ",1774,1774,chunk_5.csv
ALBERT,MAX,72058,A,"Albert , M a x Albert,Max. Die Schätzung der Grund- und Gebäudewerte. Anleitung zur Aufstellung von Scfcätzungagutachten - Wertermittlung unter Berücksichtigung veränderlicher Ver- hältnisse . 4-*A. Bochum-LangeniireerrPöppinghaus 1950.      (623 S.) K 19",1777,1777,chunk_5.csv
ALBITZ,PAUL,83839,A,"A 1 b i t z  ,  Paul Albitz, Paul; Liu, Cricket.  DNS and BIND in a nutshell. (Reprinted, minor corrections). Sebastopol, CA: O'Reilly & Associates,Inc., (1993). A       -23cm.XXVIII,381 p. 32739	~                       ^ ",1784,1784,chunk_5.csv
ALBRECHT,ERWIN,,A,"Albrecht , Erwin Albrecht.Erwin [und] Armin Schärrer. Der Reingewinn der Unternehmung im Bundessteuerrecht. Zürich:SKV 1945.	(7111,172 S.) 1945,5854.              ""   (Dr.)             A ",1785,1785,chunk_5.csv
ALBRECHT,P.H.,,A,"Albrecht  ,  P. H. s.   Salärumfrage 1996. Berufe der Wirtschafts- informatik ... Redakt. Bearbeitung: P.H.A' ",1790,1790,chunk_5.csv
FACHEMPFEHLUNGEN,,,A,"Fachempfehlungen	«* Fachempfehlungen zur Rechnungslegung 1997. FER Nrn. 0-14; Entwurf FER 15; Entwurf FER 16 / FER Fachkommission für Empfehlungen zur Rechnungslegung. Zürich: Treuhand-Kammer, 1997.	-21cm. 107 S 36403 ",1913,1913,chunk_5.csv
FACHGRUPPE,,7748,A,"Fachgruppe Fachgruppe Lebensversicherung, Pensionskassen, Sterbekassen der Wirtschaftsgruppe Privatversicherung der Reichsgruppe Versicherungen der Gesamtorganisation der gewerblichen Wirtschaft, Geschäftsbericht 1935-1938. Erstattet zu der Mitgliedervers",1915,1915,chunk_5.csv
FALLSTUDIEN,,86615,A,"F  a l l  B  t u d i  e n Fallstudien zur Unterriehmerisführung. (ürsger): Rolf Eschenüach, Christian Kreuzer, Katharina Neumann. Stuttgart:   Schaffer-Poeschel Verlag,   (1994).	-24cm. A	503 S. 33751                                               W ",1944,1944,chunk_5.csv
LOISEAU,ANDRÉ,94510,A,"L' oiseau,   André	^¿é' £~f' O Loiseau,André.     L'assurance sur la vie  - Instrument de crédit. Paris:Jouve & Cie.   1935-	(152 S.) ",2529,2529,chunk_5.csv
LONG-TERM,,7437/21,A,"Long-term Long-term care and social security. Studies and rosearon Ho. 21. Geneva:International Social Security Association, (1984) -24cm.VII,180 p ",2535,2535,chunk_5.csv
GRELL,HANS-GEORG,,A,"Grell   ,   Hans-Georg s.   Volksbank,   Schweizerische. ",2541,2541,chunk_5.csv
GRETENER,MAX,12174,A,"Gretener , M a x Gretener,Max. Der Ersatzwert in der Gebäude-Feuerversiche- rung nach Art.63 Ziff. 2 VVG unter besonderer Berücksich- tigung der Wiederaufbauklausel (mit Rechtsvergleichung). Dias.Universität Zürich. ZUrich-.Juris Druck u.Verlag, 1975.	- 2",2545,2545,chunk_5.csv
GREVILLE,THOMAS N E,3012,A,"Greville,  Thomas  K       E	3012 Greville, Thomas K     E       United States life tables and actuarial tables 1939-1941. Sixteenth census of the United States: 1940. Washington:!!.S.Government Printing Office 1946.   (IV,153 S.) K 783	ft   (Actuarial Ma",2547,2547,chunk_5.csv
GIGER,HANS,12404,A,"G i Ä e r  .  Hans Giger, Hans. Der zahlungsunwillige Mieter, Analyse der Verzugsregelung im Mietrecht, Schriftenreihe zum Konsu- raentenschutzrecht. Bond 21. Zürich, SchulthesB Polygraphischer Verlag (AG, 1987). A	-23cm.189 S 25816	~ ",2635,2635,chunk_5.csv
GIGER,HANS,81357,A,"Giger  (  Hans Gigör, Haus.  Geltunga- und Inhaltskontrolle Allgemeiner Geschäftsbedingungen. Schriftenreihe zum Konsumenten- schutzrecht, Band 12. Zürich, Schulthess Polygraphischer Verlag, (1983) .-23cm. 211 S. 21842	J ",2637,2637,chunk_5.csv
GIROUD,EMILE,4070,A,"Giroud , E m i 1	¥*& T' O Giroud,Emil. Handbucb der Buch- -und Bilanzprüfung in der Schweiz. 3-*A. Zürich:SKV (1944).	(IÏ.382 S.) 1945,5259.	.      {Bücherexperte )        A ",2692,2692,chunk_5.csv
GOLAY,JEAN,93168,A,"G o   1  a y   ,     Jean Golay,Jean.   Quelques  aspects  du financement de  l'industrie suisse  de  1930 à 1939- Lausanne : Imprimerie  Centrale S.A.  1941.        (88 p.} ",2819,2819,chunk_5.csv
FRL.CHATTON (WM),,85882,S,"85*882	Frl. Chatton (WM) Dlctionnaire öconomique: Gestion, ^conomie politique ... par Jürgen Boelke, Bernard Sträub [et] Paul Thiele. Tome I: Allemand-francais. (Wiesbaden: Betriebswirtschaftlicher Verlag ür.Th.) Gabler (GmbH, 1985).	-20cm.XV,454 p. ",176,176,chunk_6.csv
HEIDEN,KONRAD,5526,A,"Heiden, Konrad Heiden,Konrad. Adolf Hitler; das Zeitalter der Verantwor tungslosigkeit. Eine Biographie. (13.-15. Tausend). Zürich:Europa Verlag 1936.	(447 S.) ",261,261,chunk_6.csv
LAROUSSE,PIERRE,I 27,A,"Larousse,  Pierre	/   % f Larousae,[Pierre],  Larousse commercial illustré. Pubi.s.l.direction de E	Clámentel- [Avec] statistiques,   1020 grav.,25 tab,[eto.-] Paris .-librairie Larousse (19?0).	(VIII.1528 p.) 1747. ",1083,1083,chunk_6.csv
ELEMENTE DER MATHEMATIK,,,A,"Elemente der Mathematik Elemente d. MathomaMlc, Bd., 195f, Nr.$, S i ",1263,1263,chunk_6.csv
THE GENEVA PAPERS ON RISK AND INSURANCE GENEVA,,,A,"The Geneva papera on risk and insurance. Geneva. Geneva pap.risk and insurance. Vol. .., no. ..,month, 19.., p. ",1269,1269,chunk_6.csv
INFORMATION,,,A,"Information Information der Internationalen Treuhand Aktiengesellscbaft in Basel Information Internat.Treuhand A.G. Basel, H. ..., 19..., S., ",1274,1274,chunk_6.csv
INSTITUT,,,A,Institut Institut de sciences actuarielles de l'Université de Lau- sanne. Cahier. s.  Cahier[s de 1'] Institut de sciences actuarielles de l'Université de Lausanne. ,1275,1275,chunk_6.csv
JOURNAL,,,A,"Journal__________________ Journal of the Institute of Actuaries J.Inst.Actuaries, VoU?4, ",1280,1280,chunk_6.csv
